sampleID	projectID	Race	Continent
SRR12664329	PRJNA663722	New_Zealand	Oceania
SRR12664330	PRJNA663722	New_Zealand	Oceania
SRR12664331	PRJNA663722	New_Zealand	Oceania
SRR12664332	PRJNA663722	New_Zealand	Oceania
SRR12664333	PRJNA663722	New_Zealand	Oceania
SRR12664334	PRJNA663722	New_Zealand	Oceania
SRR12664335	PRJNA663722	New_Zealand	Oceania
SRR12664336	PRJNA663722	New_Zealand	Oceania
SRR12664337	PRJNA663722	New_Zealand	Oceania
SRR12664338	PRJNA663722	New_Zealand	Oceania
SRR12664339	PRJNA663722	New_Zealand	Oceania
SRR12664340	PRJNA663722	New_Zealand	Oceania
SRR12664341	PRJNA663722	New_Zealand	Oceania
SRR12664342	PRJNA663722	New_Zealand	Oceania
SRR12664343	PRJNA663722	New_Zealand	Oceania
SRR12664344	PRJNA663722	New_Zealand	Oceania
SRR12664345	PRJNA663722	New_Zealand	Oceania
SRR12664346	PRJNA663722	New_Zealand	Oceania
SRR12664347	PRJNA663722	New_Zealand	Oceania
SRR12664348	PRJNA663722	New_Zealand	Oceania
SRR12664349	PRJNA663722	New_Zealand	Oceania
SRR12664350	PRJNA663722	New_Zealand	Oceania
SRR12664351	PRJNA663722	New_Zealand	Oceania
SRR12664352	PRJNA663722	New_Zealand	Oceania
SRR12664353	PRJNA663722	New_Zealand	Oceania
SRR12664354	PRJNA663722	New_Zealand	Oceania
SRR12664355	PRJNA663722	New_Zealand	Oceania
SRR12664356	PRJNA663722	New_Zealand	Oceania
SRR12664357	PRJNA663722	New_Zealand	Oceania
SRR12664358	PRJNA663722	New_Zealand	Oceania
SRR12664359	PRJNA663722	New_Zealand	Oceania
SRR12664360	PRJNA663722	New_Zealand	Oceania
SRR12664361	PRJNA663722	New_Zealand	Oceania
SRR12664362	PRJNA663722	New_Zealand	Oceania
SRR12664363	PRJNA663722	New_Zealand	Oceania
SRR12664364	PRJNA663722	New_Zealand	Oceania
SRR12664365	PRJNA663722	New_Zealand	Oceania
SRR12664366	PRJNA663722	New_Zealand	Oceania
SRR12664367	PRJNA663722	New_Zealand	Oceania
SRR12664368	PRJNA663722	New_Zealand	Oceania
SRR13676073	PRJNA701121	Turkey	Asia
SRR13676074	PRJNA701121	Turkey	Asia
SRR13676075	PRJNA701121	Turkey	Asia
SRR13676076	PRJNA701121	Turkey	Asia
SRR13676077	PRJNA701121	Turkey	Asia
SRR13676078	PRJNA701121	Turkey	Asia
SRR13676079	PRJNA701121	Turkey	Asia
SRR13676080	PRJNA701121	Turkey	Asia
SRR13676081	PRJNA701121	Turkey	Asia
SRR13676082	PRJNA701121	Turkey	Asia
SRR13676083	PRJNA701121	Turkey	Asia
SRR13676084	PRJNA701121	Turkey	Asia
SRR13676085	PRJNA701121	Turkey	Asia
SRR13676086	PRJNA701121	Turkey	Asia
SRR13676087	PRJNA701121	Turkey	Asia
SRR13676088	PRJNA701121	Turkey	Asia
SRR13676089	PRJNA701121	Turkey	Asia
SRR13676090	PRJNA701121	Turkey	Asia
SRR13676091	PRJNA701121	Turkey	Asia
SRR13676092	PRJNA701121	Turkey	Asia
SRR13676093	PRJNA701121	Turkey	Asia
SRR13676094	PRJNA701121	Turkey	Asia
SRR13676095	PRJNA701121	Turkey	Asia
SRR13676096	PRJNA701121	Turkey	Asia
SRR13676097	PRJNA701121	Turkey	Asia
SRR13676098	PRJNA701121	Turkey	Asia
SRR13676099	PRJNA701121	Turkey	Asia
SRR13676100	PRJNA701121	Turkey	Asia
SRR13676101	PRJNA701121	Turkey	Asia
SRR13676102	PRJNA701121	Turkey	Asia
SRR13676103	PRJNA701121	Turkey	Asia
SRR13676104	PRJNA701121	Turkey	Asia
SRR13676105	PRJNA701121	Turkey	Asia
SRR13676106	PRJNA701121	Turkey	Asia
SRR13676107	PRJNA701121	Turkey	Asia
SRR13676108	PRJNA701121	Turkey	Asia
SRR13676109	PRJNA701121	Turkey	Asia
SRR13676110	PRJNA701121	Turkey	Asia
SRR13676111	PRJNA701121	Turkey	Asia
SRR13676112	PRJNA701121	Turkey	Asia
SRR13676113	PRJNA701121	Turkey	Asia
SRR13676114	PRJNA701121	Turkey	Asia
SRR13676115	PRJNA701121	Turkey	Asia
SRR13676116	PRJNA701121	Turkey	Asia
SRR13676117	PRJNA701121	Turkey	Asia
SRR13676118	PRJNA701121	Turkey	Asia
SRR13676119	PRJNA701121	Turkey	Asia
SRR13676120	PRJNA701121	Turkey	Asia
SRR13676121	PRJNA701121	Turkey	Asia
SRR13676122	PRJNA701121	Turkey	Asia
SRR13676123	PRJNA701121	Turkey	Asia
SRR13676124	PRJNA701121	Turkey	Asia
SRR13676125	PRJNA701121	Turkey	Asia
SRR13676126	PRJNA701121	Turkey	Asia
SRR12533881	PRJNA549977	USA	North_America
SRR12533882	PRJNA549977	USA	North_America
SRR12533883	PRJNA549977	USA	North_America
SRR12533884	PRJNA549977	USA	North_America
SRR12533885	PRJNA549977	USA	North_America
SRR12533886	PRJNA549977	USA	North_America
SRR12533887	PRJNA549977	USA	North_America
SRR12533888	PRJNA549977	USA	North_America
SRR12533889	PRJNA549977	USA	North_America
SRR12533890	PRJNA549977	USA	North_America
SRR12533891	PRJNA549977	USA	North_America
SRR12533892	PRJNA549977	USA	North_America
SRR12533893	PRJNA549977	USA	North_America
SRR12533894	PRJNA549977	USA	North_America
SRR12533895	PRJNA549977	USA	North_America
SRR12533896	PRJNA549977	USA	North_America
SRR12533897	PRJNA549977	USA	North_America
SRR12533898	PRJNA549977	USA	North_America
SRR12533899	PRJNA549977	USA	North_America
SRR12533900	PRJNA549977	USA	North_America
SRR12533901	PRJNA549977	USA	North_America
SRR12533902	PRJNA549977	USA	North_America
SRR12533903	PRJNA549977	USA	North_America
SRR12533904	PRJNA549977	USA	North_America
SRR12533905	PRJNA549977	USA	North_America
SRR12533906	PRJNA549977	USA	North_America
SRR12533907	PRJNA549977	USA	North_America
SRR12533908	PRJNA549977	USA	North_America
SRR12533909	PRJNA549977	USA	North_America
SRR12533910	PRJNA549977	USA	North_America
SRR12533911	PRJNA549977	USA	North_America
SRR12533912	PRJNA549977	USA	North_America
SRR12533913	PRJNA549977	USA	North_America
SRR12533914	PRJNA549977	USA	North_America
SRR12533915	PRJNA549977	USA	North_America
SRR12533916	PRJNA549977	USA	North_America
SRR12533917	PRJNA549977	USA	North_America
SRR12533918	PRJNA549977	USA	North_America
